Month,Year,TAM
04,1944,-7.5
05,1944,-2.2
06,1944,1.9
07,1944,3.7
08,1944,4.3
09,1944,3.3
10,1944,1.6
11,1944,-1.9
12,1944,-2.9
01,1945,-8.7
02,1945,-5.1
03,1945,-4.8
04,1945,-3.9
05,1945,-1.7
06,1945,1.1
07,1945,5.6
08,1945,5.5
09,1945,3.8
10,1945,-1.1
11,1945,-4.9
12,1945,-3.6
01,1946,-4.3
02,1946,-9.0
03,1946,-6.3
04,1946,-5.0
05,1946,-1.4
06,1946,1.0
07,1946,6.0
08,1946,4.2
09,1946,4.6
10,1946,0.0
11,1946,-4.7
12,1946,-1.0
01,1947,-0.1
02,1947,-10.3
03,1947,-13.5
04,1947,-6.8
05,1947,-1.8
06,1947,1.6
07,1947,3.6
08,1947,4.6
09,1947,2.3
10,1947,-0.2
11,1947,-4.3
12,1947,-8.0
01,1948,-11.5
02,1948,-6.3
03,1948,-6.9
04,1948,-5.0
05,1948,-2.2
06,1948,0.2
07,1948,3.3
08,1948,3.2
09,1948,3.0
10,1948,0.4
11,1948,-4.5
12,1948,-7.1
01,1949,-8.3
02,1949,-3.0
03,1949,-3.3
04,1949,-5.8
05,1949,-2.7
06,1949,1.3
07,1949,3.9
08,1949,4.2
09,1949,2.3
10,1949,-2.1
11,1949,-0.9
12,1949,-1.6
01,1950,-2.1
02,1950,-4.8
03,1950,-4.8
04,1950,-2.4
05,1950,-1.4
06,1950,1.5
07,1950,3.8
08,1950,6.0
09,1950,4.6
10,1950,2.8
11,1950,-0.2
12,1950,-5.7
01,1951,-10.5
02,1951,-1.7
03,1951,-8.2
04,1951,-6.1
05,1951,-2.5
06,1951,1.9
07,1951,2.4
08,1951,4.9
09,1951,2.4
10,1951,0.8
11,1951,-7.9
12,1951,-10.8
01,1952,-8.5
02,1952,-7.6
03,1952,-8.2
04,1952,-5.3
05,1952,-1.5
06,1952,3.6
07,1952,4.4
08,1952,3.6
09,1952,2.3
10,1952,0.7
